상품종류,은행,상품명,기본금리( %),"최고금리(우대금리포함,  %)",이자지급방식,가입방법,우대조건,가입제한조건,가입대상,기타유의사항,최고한도,세후이자율,세후이자,이자계산방식
적금,참저축은행,e-정기적금,4.00%,4.00%,정액적립식,,,제한없음,,,,3.38%,"21,970",단리
적금,유니온저축은행,e-정기적금,4.00%,4.00%,자유적립식,,,제한없음,,,,3.38%,-,단리
적금,유니온저축은행,e-정기적금,4.00%,4.00%,정액적립식,,,제한없음,,,,3.38%,"21,970",단리
적금,유니온저축은행,e-정기적금,4.00%,4.00%,자유적립식,,,제한없음,,,,3.38%,-,복리
적금,조흥저축은행,e-정기적금,4.00%,4.00%,정액적립식,,,제한없음,,,,3.38%,"21,970",단리
적금,HB저축은행,e-정기적금,4.00%,4.00%,정액적립식,,,제한없음,,,,3.38%,"21,970",단리
적금,HB저축은행,e-정기적금,4.00%,4.00%,정액적립식,,,제한없음,,,,3.38%,"22,199",복리
적금,웰컴저축은행,e정기적금,3.20%,4.00%,정액적립식,,,제한없음,,,,2.71%,"17,615",단리
적금,웰컴저축은행,m정기적금,3.20%,4.00%,정액적립식,,,제한없음,,,,2.71%,"17,615",단리
적금,세람저축은행,내가디자인하는적금,4.00%,4.00%,정액적립식,,,제한없음,,,,3.38%,"21,970",단리
적금,고려저축은행,마이버킷 정기적금,4.00%,4.00%,정액적립식,,,제한없음,,,,3.38%,"21,970",단리
적금,고려저축은행,보고파 정기적금,4.00%,4.00%,정액적립식,,,제한없음,,,,3.38%,"21,970",단리
적금,세람저축은행,비대면 정기적금,4.00%,4.00%,정액적립식,,,제한없음,,,,3.38%,"21,970",단리
적금,참저축은행,비대면정기적금,4.00%,4.00%,정액적립식,,,제한없음,,,,3.38%,"21,970",단리
적금,엔에이치저축은행,비대면정기적금,4.00%,4.00%,정액적립식,,,제한없음,,,,3.38%,"21,970",단리
적금,HB저축은행,스마트 정기적금,4.00%,4.00%,정액적립식,,,제한없음,,,,3.38%,"21,970",단리
적금,HB저축은행,스마트 정기적금,4.00%,4.00%,정액적립식,,,제한없음,,,,3.38%,"22,199",복리
적금,고려저축은행,씨앗정기적금,4.00%,4.00%,정액적립식,,,제한없음,,,,3.38%,"21,970",단리
적금,안국저축은행,아이사랑적금,4.00%,4.00%,정액적립식,,,제한없음,,,,3.38%,"21,970",단리
적금,대백저축은행,애플정기적금,4.00%,4.00%,정액적립식,,,제한없음,,,,3.38%,"21,970",단리
적금,고려저축은행,응답하라2030정기적금,4.00%,4.00%,정액적립식,,,제한없음,,,,3.38%,"21,970",단리
적금,세람저축은행,정기적금,4.00%,4.00%,정액적립식,,,제한없음,,,,3.38%,"21,970",단리
적금,유니온저축은행,정기적금,4.00%,4.00%,정액적립식,,,제한없음,,,,3.38%,"21,970",단리
